URL;Aanmaken;Account;Afhaalbalie;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Categorieën;Filiaal;Filialen;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Online warenhuis;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Showroom;Thuiswinkel;Verkooppunt;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.amazingcakes.nl;0;0;0;8;0;3064;2734;259;14;1;9;0;0;0;0;6;0;12;5;41;0;17;264;5;32;294;8;0;0;0;0;0;45;5;30;2;0;0;3987;0;0;994;27;274;315624;278
http://www.amazon.com;0;897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1837;1070;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;306241;121
http://www.angelascupcakefactory.nl;0;24;0;0;0;91;52;0;96;0;0;0;0;0;24;0;13;48;0;13;0;0;35;13;312;61;37;0;0;0;0;0;48;0;13;0;0;0;163;76;0;24;0;11;35498;24
http://www.badkamer.nl;0;0;0;0;7;352;3;200;9;10;2;0;0;0;0;7;0;120;24;17;0;16;4;0;11;452;163;0;318;24;0;1;2;1;101;14;0;0;234;206;0;0;6;4;85541;99
http://www.batavus.nl;0;0;0;1;0;12;7;0;0;4;0;0;0;0;1;2;0;79;16;16;0;10;0;1;26;21;5;0;111;0;0;0;1;0;0;4;1;0;899;0;257;1;2;173;119000;92
http://www.centerparcs.nl;8;257;0;0;0;176;8;0;31;2;0;0;0;0;9;4;2;151;4;0;0;12;3;1;3;425;39;0;0;0;0;2;1;0;0;2;0;1;14;0;4;1;94;191;316677;123
http://www.cupcake-store.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1
http://www.euromaster.nl;0;12;0;1;0;17;1;0;6;4;3;0;2;1;3;86;0;57;328;6;0;6;80;0;236;19;16;0;0;0;1;0;0;0;1;240;171;0;437;0;0;1;1;14;95677;115
http://www.europcar.nl;2;179;0;4;0;86;2;0;10;5;0;0;0;0;4;47;0;34;2;0;0;2;62;26;13;77;71;0;0;0;0;0;1;0;0;464;294;4;0;0;0;0;2;12;94984;57
http://www.fietsenwinkel.nl;472;708;0;41;0;747;38;1;80;17;3;0;0;0;0;1072;15;356;101;6;0;34;30;14;949;8793;514;0;0;5;0;0;0;0;4;17;0;472;5753;239;1145;2;767;249;805536;236
