URL;Aanmaken;Account;Afhaalbalie;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Categorieën;Filiaal;Filialen;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Online warenhuis;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Showroom;Thuiswinkel;Verkooppunt;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.123tijdschrift.nl;0;242;0;0;0;1305;66;1;5;26;2;0;0;0;0;137;0;76;4;0;0;40;0;0;186;144;7;0;0;0;0;1;0;2;1;27;0;0;4;0;1;0;40;2;233360;121
http://www.actievandedag.nl;2;515;0;0;0;17;3;2;22;75;0;0;0;0;188;223;0;28;37;5;0;10;77;2;130;176;128;0;0;0;0;0;2;2;6;75;1;16;14;0;3;0;26;7;72781;60
http://www.afuture.nl;1;28;5;31;1;224;185;3;4;2;0;0;0;0;30;43;0;12;2;0;0;11;5;0;28;68;30;2;0;0;0;0;22;4;4;2;0;9;12;0;0;10;7;5;12228;26
http://www.albelli.nl;2;642;0;0;2;153;28;5;15;1;16;0;0;0;152;260;0;1;0;30;0;6;6;2;1016;922;451;0;0;0;0;3;9;3;359;1;0;22;623;471;0;152;3;7;126323;77
http://www.alleslingerie.nl;6;1796;0;297;0;2210;608;304;11;5;632;0;0;0;302;310;0;15;1;342;0;5;592;592;1495;4169;929;0;0;0;0;0;1;2;8;5;0;598;3053;0;0;2298;43;1193;1014869;299
http://www.allsecur.nl;0;10;0;0;0;0;0;0;64;2;0;0;0;0;61;77;0;38;43;3;0;3;4;0;1;48;42;0;0;0;0;6;0;0;0;2;0;9;0;0;0;0;2;4;51054;47
http://www.antratek.nl;2;69;0;0;0;327;17;1;44;0;33;0;0;0;32;29;0;58;1;0;0;1;0;0;115;379;153;0;0;5;0;0;0;33;23;0;0;62;60;0;0;46;0;42;61499;29
http://www.avantisport.nl;0;47;0;0;0;17;1;0;9;0;0;0;0;0;27;50;0;3;0;0;0;1;0;8;1;110;33;0;0;0;0;0;0;0;50;0;0;8;70;1;1;62;0;8;24872;24
http://www.bakgoed.nl;0;621;0;26;7;945;2;12;451;12;18;0;0;0;0;0;0;2165;0;1;0;6;0;0;819;1903;251;1;0;0;0;0;224;448;17;14;0;408;2029;0;0;1511;25;415;686524;204
http://www.bbeachi.nl;0;12;0;0;0;14;0;0;0;0;0;0;0;0;36;0;0;53;0;0;0;1;0;4;27;150;32;12;0;0;26;0;0;0;14;0;0;0;79;0;0;36;0;3;11027;12
http://www.bol.com;0;406;0;0;7;271;87;44;15;3;51;0;0;0;30;119;0;77;62;0;0;15;0;13;209;556;49;0;0;51;0;2;3;36;9;5;0;0;254;0;2;45;6;15;60353;36
http://www.cheaptickets.nl;0;4177;0;0;0;0;0;0;0;144;0;0;0;0;144;24;0;13;5;0;0;0;0;0;32;1729;1;0;0;432;0;0;0;0;0;144;0;0;432;0;0;0;0;72;60888;80
http://www.essent.nl;0;75;0;0;0;3;0;0;6;5;0;0;0;0;59;162;0;10;4;0;0;12;0;3;46;53;45;0;0;0;0;6;0;0;0;5;0;32;1;0;0;0;2;6;23480;51
http://www.etsy.com/shop/jessiestyle;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;13328;44;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434599;831
http://www.hackerstore.nl;1;2;0;0;0;149;99;10;10;24;1;0;0;0;98;1;0;7;7;3;0;7;0;4;7;37;7;2;0;0;0;6;0;3;5;24;0;6;104;0;0;103;0;7;95742;98
http://www.hobbyelectronica.nl/info/contact;0;199;0;1;0;99;0;1;98;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;196;1318;294;0;0;0;0;1;300;0;0;0;0;0;1474;98;0;101;0;196;71967;98
http://www.hotelSpecials.nl;0;0;0;0;0;0;0;0;146;0;0;0;0;0;0;295;0;5;145;0;0;145;0;0;146;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125231;147
http://www.hotels.nl;0;551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;1367;133;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244016;98
http://www.ibood.com/nl/nl;3;82;0;0;4;213;37;22;20;20;2;0;0;0;11;18;0;27;27;1;0;26;0;1;12;187;28;1;0;0;0;9;9;28;18;21;1;8;9;5;0;4;1;6;34117;36
http://www.inshared.nl;0;4;0;0;0;0;0;0;4;0;0;0;0;0;8;12;0;10;0;0;0;0;0;0;0;10;0;0;0;4;0;0;20;0;0;0;0;0;6;0;0;0;0;26;8282;60
http://www.kiwi-electronics.nl;0;4;0;1;0;1812;1759;8;1;224;1;0;0;0;218;218;0;0;0;0;0;7;6;5;1;2861;221;0;18;0;0;0;4;21;3;224;0;0;220;0;0;218;2;1;202385;220
http://www.knijpertjes.nl;0;114;0;0;0;114;0;0;57;0;0;0;0;0;57;114;0;0;0;0;0;0;0;0;114;171;57;0;0;0;0;0;0;0;0;0;0;114;171;0;0;114;0;0;73644;57
http://www.landal.nl;0;325;0;1;0;5;1;0;6;20;0;0;0;0;1;0;0;3;2;0;0;8;1;120;274;4;4;0;0;2;0;1;1;0;0;20;0;0;215;0;6;0;22;20;426336;164
http://www.maxict.nl;1;2647;0;1815;0;3744;1818;49;1844;73;0;0;0;0;1810;7554;0;4852;1819;1879;0;22;2;0;9189;19215;11198;5481;2;1;0;1807;1906;18;125;73;0;5;20301;0;3;20290;5;7230;9654536;1817
http://www.monuta.nl;2;5;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;2;2;0;0;4;0;0;0;11;10;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;47;16204;42
http://www.motorkleding.nl;0;145;0;5;0;99;77;0;14;1;0;0;0;0;138;221;0;1;6;21;3;14;0;0;5;1395;104;0;0;5;0;0;0;7;8;1;0;8;297;0;0;210;0;77;70442;69
http://www.neckermann.nl;308;926;0;0;0;7;4;0;15;4;0;0;0;3;616;352;0;59;7;1;0;0;12;5;92;7;7;0;0;0;0;154;0;0;0;4;0;782;142;0;64;0;23;115;389952;179
http://www.online-shoppen-nederland.nl;0;61;0;0;0;27;17;0;1;0;0;0;0;0;0;8;0;26;60;5;0;64;2;1;676;129;72;3;0;0;0;3;61;0;0;0;0;0;819;63;275;0;61;12;119038;121
http://www.onlinemakeup.nl;3;1264;0;2;0;906;117;10;1294;8;1258;0;0;0;627;3147;0;3937;715;2;0;7;0;1;5;6957;2952;1;0;0;0;26;5;1303;625;8;0;636;9245;3;7;7306;5;1263;1209400;624
http://www.otto.nl;57;455;0;117;28;2334;392;81;922;40;82;0;0;0;179;505;0;251;80;153;0;220;38;173;283;1545;669;0;0;164;0;38;0;646;100;45;21;193;635;0;27;291;19;72;267545;83
